prior_work,venue_year,claim_specific_branching,simpler_strategy_comparison,ground_truth_coupling_failures,false_suppression_measurement,calibration_coverage,cross_domain_open_validation,cost_benefit_evaluation,notes
Sharma paired-seed PSE,arXiv 2512.24145 (2025),no,no,no,no,yes_variance_theory,no_game_econ_sim_only,partial_budget_framing,"CRN theory for paired seeds; single simulator domain"
Event-keyed hashing counter-based RNG,arXiv 2603.11084 (2026),no,no,partial_draw_shift_diagnosis,no,no_marginal_argument_only,no,no,"Branch E construction theory; white-box RNG replacement required"
ARA adversarial validation pipelines,arXiv 2607.21173 (2026),no_causal_protocols_only,vs_vanilla_LLM_only,yes_planted_SCM_violations,qualitative_withholding_observation,partial,no_epidemiology_benchmarks,no,"Closest on planted-fault evaluation; different problem domain"
Rollout cards,arXiv 2605.12131 (2026),no_views_rules_only,no,no_drops_manifest_audits,no,no_reporting_rule_shifts,no,partial_overhead_discussion,"Trace assurance and reporting transparency"
agrepl deterministic replay,arXiv 2607.16200 (2026),no,no,no,no,no,no,partial_latency_reduction,"Replay capability; no evaluated claims"
TraceCore deterministic episode runtime,GitHub spec 2026,no,no,no,no,no,no,no,"Replay contract as infrastructure"
Verifiable RL benchmarks replay traces,IEEE CoG 2022,no,no,no,no,no,no,partial_compression_ratios,"Reviewer verification via action traces"
MIA metamorphic testing at scale,ICSE-SEIP 2021,no,no,partial_regression_MR,no,no_flakiness_focus,no,partial_runtime_targets,"Industrial metamorphic testing deployment"
Statistical oracle toolkit Patrick et al.,ICST 2017,no,no,yes_injected_faults_detected,no,partial_size_of_detectable_errors,no_simulation_suite_only,partial,"Detects small injected errors in stochastic simulations"
Statistical metamorphic testing Guderlei Mayer,QSIC 2007,no,no,no,no,no,no,no,"Hypothesis-test MRs concept"
A/A testing practice,Kohavi lineage; practitioner 2026,no,no,partial_null_checks_only,no,yes_FPR_uniformity,no_platform_QA,partial_cheap,"Platform QA folklore not studied vs alternatives"
PEGASUS Ng Jordan,NIPS 2000,no,no,no,no,no,no,no,"Classic CRN policy search"
Strens paired comparisons,JMLR 2003,no,no,no,no,no,no,no,"Paired tests for policy search"
CRN in MCTS,NeurIPS (Vodopivec et al.),no,no,no,no,no,no_games_only,no,"CRN/antithetic/control variates in UCT"
How many random seeds Agarwal et al.,arXiv 1806.08295,no,no,no,no,partial_rli_analysis,no,no,"Seed statistics reporting standards"
Lotterhos analysis validation,PLOS Biology 2019,no,no,yes_known_truth_simulations,no,yes_method_evaluation,no_advocacy_only,no,"Endorses known-truth method validation generally"
Simulation V&V Sargent,WSC tutorials,no,no,no,no,no,no_domain_specific,no,"Standard V&V methodology"
THIS_REDESIGN,target 2026,yes_branches_A_to_E,yes_B0_B7_head_to_head,yes_S0_S10_labeled,yes_first_class_metric,yes_typeI_coverage_power,yes_game_plus_MC_physics,yes_runtime_storage_config,"Contribution = evaluation of claim-specific validation"
