claim_id,manuscript_section,proposed_claim,status,raw_source,json_or_line_locator,branch,commit,artifact_sha256,calculation_script,verified_value,unit,sample_size,statistical_method,limitations,include_or_omit
BASE-001,Environment and frozen baseline,C0 is A2 plus deterministic Damage V0 runtime logic; all order-policy files use the same A2 weights.,VERIFIED,artifacts/overnight_20260816/frozen_hashes.json; artifacts/Matched_final_escape/decision.json,policy/control entries and decision fields,final/overnight-20260816,b7ce5ba7578b125e9fc6fa25b57c33a91c00dddf,0dcd77c2a1f257730996cde774bfbd3cc3a67a69e39e6ac4aa133be2e115a7a8; 6441f1486773b92ab3caa83be7485cdb93cc5f098c8052b100cc98ddd2907a95,direct hashing,A2 model b19871a9...b6bda8; C0 tree 13426288...535c3,SHA-256,3 policy files,byte hashing and source inspection,C0 package is ignored locally; tracked inventory corroborates the bytes.,INCLUDE
BASE-002,Environment and frozen baseline,EXP23 packages byte-identical trained output-module weights in all three order-policy files.,VERIFIED,artifacts/overnight_20260816/frozen_hashes.json; artifacts/final_sprint/exp23_identity_trained.tar.gz,candidate entries and archive members,final/overnight-20260816,05657c656c04d88b0352bb0db6f9e2a5dce4b234,0dcd77c2a1f257730996cde774bfbd3cc3a67a69e39e6ac4aa133be2e115a7a8; 0734b60c089eea9c2e40550b8e9c6dc3983957210794ba245c4c00bd9d4e7096,direct hashing,model cefe6118...96984; tree 83489e0c...7f1c0,SHA-256,3 policy files,byte and tree hashing,Package manifest contains stale A2 hashes; actual member bytes are authoritative.,INCLUDE
REP-001,Representation defect,Historical ordinary PLAY options omitted the actual hand-card identity; the repair binds hand[option.index] to source_card.,VERIFIED,ptcg_ai/features.py; artifacts/final_sprint/exp23_identity_trained/ptcg_ai/features.py,option_source_card and PLAY binding branch,paper/aps-open-science-202608,4c868358041285df7795a756a6aa41a48e67145e,ef57bb72d1e435d3875e7f37347b2c9a569cbaa42b0c159074888124017d0294; c6ac2f1fac55c48d3896fcddd5d7407ae0fd10f55dd25e1ef96921486b554e02,source inspection,source_card: 0 -> hand[option.index].id for ordinary PLAY,code behavior,one bounded feature path,line-by-line source audit,Repair is flag-gated and EXP23 main.py enables the flag.,INCLUDE
REP-002,Representation defect,The flag changes only PLAY source identity in a mechanistic parity audit.,VERIFIED,artifacts/p0_parity.json,root fields,main,1c5d52a1e151c1a7d630d1f098fa84f6058d1ca3,422a1da8d125078838dc7df928d9e34c83dd8ddcbe3575fc3bc79517064f6c59,historical parity audit,"4,659 decisions; 24,065 options; 2,853 values and 658 decisions changed; all MAIN",counts,"4,659 decisions",exact feature-array comparison,"Mechanistic encoder check, not matched training or gameplay.",INCLUDE
REP-003,Representation audit,Every retained ordinary PLAY option has source_card=0 under the reconstructed blind encoding and a positive source identity under the repaired encoding.,VERIFIED_WITH_CAVEAT,paper/data/representation_audit.json,$.corpus,paper/aps-open-science-202608,52df476feff2511945170cf21f135e710f002df3,74604f5ebfe4e8d6355c1b56ef56b234ff3e79da876c5b91366587f4a1adda6d,paper/scripts/audit_representation.py,"37,199/37,199 blind source coordinates zero; 37,199/37,199 repaired source coordinates positive",PLAY options,"47,653 decisions",deterministic retained-row transformation,"These retained feature rows have observation=null, so they cannot establish raw-observation binding correctness; that mechanistic claim rests on the separate parity/source audit. The corpus is outcome-selected and is not A2's original training corpus.",INCLUDE
REP-004,Representation audit,The blind input retains normalized hand index but omits the relation from that index to card identity; no exact within-state input collision was observed in the retained rows.,VERIFIED,paper/data/representation_audit.json,"$.corpus states_with_two_or_more_play_options, multi_play_option_states_with_unique_hand_indices, play_options_with_numeric_index_matching_raw, states_with_two_or_more_play_identities, and within_state_* fields",paper/aps-open-science-202608,52df476feff2511945170cf21f135e710f002df3,74604f5ebfe4e8d6355c1b56ef56b234ff3e79da876c5b91366587f4a1adda6d,paper/scripts/audit_representation.py,"index matched raw in 37,199/37,199 PLAY options; unique indices in 10,522/10,522 multi-PLAY states; 9,776/15,728 PLAY states had >=2 identities; exact duplicate groups/cross-identity groups/states/instances = 0/0/0/0",states/groups/percent,"47,653 decisions",exact feature signature grouping,"Zero exact collisions do not make the representation relationally sufficient: the option index is present, but the card identity occupying that index is absent.",INCLUDE
REP-005,Representation audit,C0 and EXP23 output modules disagree disproportionately in multi-identity PLAY states.,VERIFIED_WITH_CAVEAT,paper/data/representation_audit.json,$.head_disagreement,paper/aps-open-science-202608,52df476feff2511945170cf21f135e710f002df3,74604f5ebfe4e8d6355c1b56ef56b234ff3e79da876c5b91366587f4a1adda6d,paper/scripts/audit_representation.py,all 13.7%; multi 44.4%; other 5.8%,decision percent,"47,653 decisions",output-module-only index-exact deterministic inference,No runtime shields; association with a multi-identity state is not a gameplay causal effect.,INCLUDE
REP-CONFLICT-001,Representation audit,A corpus-wide repeated-signature count represented exact within-state action collisions.,CONFLICT,paper/data/representation_audit.json; paper/scripts/audit_representation.py,former global blind_groups aggregation and corrected $.corpus within-state fields,paper/aps-open-science-202608,dc392e7986c9c620d8a604ee582ed4b8bfd9ae10,74604f5ebfe4e8d6355c1b56ef56b234ff3e79da876c5b91366587f4a1adda6d; f304645bb75156d64ba33858d0ff78689417a1bbbf9d51835f7ae45037ebb87b,independent within-row recomputation and corrected paper/scripts/audit_representation.py,former 17 groups / 99.7% instances were cross-observation pattern reuse; corrected within-state result is 0 groups / 0 instances,groups/percent,"47,653 decisions",within-row exact option-head signature audit,"Shared state vectors differ across observations, so cross-row option-pattern reuse is not an action collision.",OMIT
DATA-001,Replay data and training,The retained refresh corpus is an outcome-selected winner/top-episode feature-row sample with fixed split counts and no stored raw observations.,VERIFIED_WITH_CAVEAT,artifacts/final_sprint/identity_train/train_manifest.json; artifacts/final_sprint/identity_train/merged_decisions.jsonl.gz,manifest counts and direct merged_decisions row scan,final/overnight-20260816,b7ce5ba7578b125e9fc6fa25b57c33a91c00dddf,8c13a5de5b34c3deec5909948fb8c03117048f0295140c48a0325550a9a1a774; a3d28e9c3ab650a1ec3c1cf708fc7684dc5258a86469d622871e7efe25dcdc40,paper/scripts/audit_representation.py and direct claim-ledger corpus scan,"47,653/47,653 rows reward=1, source=daily_top_episode, observation=null; 38,254 train; 3,361 internal validation; 6,038 six-team refresh holdout; 472 episodes; 69 team labels; 8 empty temporal stubs",decisions/episodes/teams,"47,653",manifest audit and exact direct row scan,"Winner/top-episode outcome selection is not a random expert sample; demonstrator expertise was not independently established. Null observations prevent reconstructing option-card bindings from these rows, and the nominal temporal holdout contains only empty stubs.",INCLUDE
TRAIN-001,Replay data and training,EXP23 updated only four output modules while freezing the remaining network; the A2 teacher consumed the same identity-aware cell encoding as the student.,VERIFIED,scripts/train_identity_fix.py; training/Matched4.py; artifacts/final_sprint/train_identity.log,"training call, optimizer, epoch logs",main,4c868358041285df7795a756a6aa41a48e67145e,a4a365e22ee8961769def375d76488208d63318488f1bb0311c4db53608236b0; 7239999b3ad821ab77a9c2c4a01286248b1fd8efdc99bb215d3100a633ba0a25; 463bf2331fa8393214ab8a00bf2b4fa052a744c4fe17e62ccf717c0b2f285716,source/log audit,lr 1e-4; 3 epochs; batch 256; seed 20260816; configured fresh .999; distillation .5; 8/19 arrays changed,hyperparameters/arrays,"38,254 rows per epoch",source plus log verification,One seed and one candidate; only option_linear/score/count/value output modules were trainable. The distillation teacher is not a blind-encoder counterfactual because it receives the cell's identity-aware features.,INCLUDE
