source_id,exact_title,authors,year,venue_or_status,doi_or_identifier,primary_source,research_problem,method,artifact_type,validation,overlap_with_this_work,difference_from_this_work,remaining_novelty,manuscript_sentence_supported,verified,notes
"glasserman1992crn","Some Guidelines and Guarantees for Common Random Numbers","Paul Glasserman; David D. Yao","1992","Management Science 38(6):884-908","10.1287/mnsc.38.6.884","https://pubsonline.informs.org/doi/10.1287/mnsc.38.6.884","When and why CRN improves comparative simulation precision","Analytical conditions and guarantees tied to monotonicity, continuity, and event timing","Theory and simulation examples","Published journal analysis","Establishes that seed reuse alone is insufficient and CRN benefits are conditional","Does not audit a black-box implementation, traces, or claim admission","Operational evidence gates and automatic suppression in a restricted simulator","Common-random-number (CRN) theory makes that gain conditional on the construction and on properties such as system structure and event timing, rather than on the reuse of an integer alone.","TRUE","Current manuscript sentence; publisher metadata verified."
"lecuyer2002streams","An Object-Oriented Random-Number Package with Many Long Streams and Substreams","Pierre L'Ecuyer; Richard Simard; E. Jack Chen; W. David Kelton","2002","Operations Research 50(6):1073-1075","10.1287/opre.50.6.1073.358","https://pubsonline.informs.org/doi/10.1287/opre.50.6.1073.358","Safe organization of multiple simulation random-number streams and independent replications","Object-oriented streams and substreams with large-period generators","Software design and stream/substream abstraction","Published journal description and package evidence","Prior art for synchronized streams and replication structure","A stream assignment does not itself validate semantic event alignment in a black box","Auditing the actual boundary, trace behavior, and claim class","Streams and substreams are established ways to organize synchronized simulation and independent replications.","TRUE","Current manuscript sentence; publisher metadata verified."
"salmon2011parallel","Parallel Random Numbers: As Easy as 1, 2, 3","John K. Salmon; Mark A. Moraes; Ron O. Dror; David E. Shaw","2011","SC '11 peer-reviewed conference paper; Best Paper","10.1145/2063384.2063405","https://doi.org/10.1145/2063384.2063405","Parallel random access without mutable generator state","Counter-based pseudorandom number generators keyed by counter and key","Algorithms and implementations","Peer-reviewed conference evaluation","Foundational mechanism underlying event-keyed random access","Does not define this pairing ontology, black-box audit, or statistical admission","No generator-mechanism novelty remains; integration and validation remain","CRN conditions, stream design, paired-seed evaluation, counter-based random access, and event-keyed randomness already cover the central stochastic-computation ingredients.","TRUE","Current composite manuscript sentence; DOI and official SC11 program verified."
"sharma2025pairedseeds","When Does Pairing Seeds Reduce Variance? Evidence from a Multi-Agent Economic Simulation","Udit Sharma","2025","arXiv:2512.24145 v3; revised 2026-01-31; preprint","10.48550/arXiv.2512.24145","https://arxiv.org/abs/2512.24145","Conditions under which paired seeds improve precision in a multi-agent simulation","Paired estimators and seed-level covariance analysis","Seed-level outcome pairs and simulation study","Preprint theory and empirical simulation","Direct prior art for seed-paired statistical comparison and conditional precision","Treats the seed as determining the matched stochastic realization rather than auditing black-box coupling validity","Testing whether that seed-level pairing assumption is evidenced and governing permissible claims","A recent paired-seed preprint likewise studies the conditional precision gain when seed-level outcomes are favorably correlated.","TRUE","Current manuscript sentence. Use preprint status and do not inherit same-seed coupling as established fact."
"buffalo2026eventkeyed","Realizing Common Random Numbers: Event-Keyed Hashing for Causally Valid Stochastic Models","Vince Buffalo; Carl A. B. Pearson; Daniel Klein","2026","arXiv:2603.11084 v1; preprint","10.48550/arXiv.2603.11084","https://arxiv.org/abs/2603.11084","Stateful draw-index CRN fails when interventions change execution order","Stable semantic event keys with counter-based hashing under an SCM/execution-invariance account","Modeled events, exogenous variables, event keys, and toy example","Formal development plus illustrative stateful draw-shift repair","Directly owns the cross-arm event-alignment diagnosis and event-keyed repair","White-box construction requires a valid event ontology; no black-box trace/admission audit or automatic suppression","Evidence and claim governance when event-keyed repair is inaccessible or unverified","Buffalo, Pearson, and Klein establish the stateful draw-shift problem and event-keyed white-box repair.","TRUE","Current manuscript sentence; preprint status verified."
"masters2026rolloutcards","Rollout Cards: A Reproducibility Standard for Agent Research","Charlie Masters; Ziyuan Liu; Stefano V. Albrecht","2026","arXiv:2605.12131 v1; preprint","10.48550/arXiv.2605.12131","https://arxiv.org/abs/2605.12131","Scores obscure rollout evidence, reporting rules, errors, skips, and drops","Preserve rollout records and declare views, reporting rules, and drops manifests; audit repositories and regrade fixed evidence","Rollout-card bundles and reference implementation","Audit of 50 repositories, four partial releases, and benchmark-output regrading","Strong overlap in trace/evidence preservation and explicit reporting provenance","Does not validate same-seed coupling, distinguish within/cross alignment, or admit/suppress paired statistical claims","Boundary identity, pairing diagnostics, coupling failures, and inferential admission","Rollout Cards preserves rollouts, declared views, reporting rules, and dropped-record manifests.","TRUE","Current manuscript sentence; exact arXiv title/authors/status verified."
"paduraru2026traceassurance","A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance","Ciprian Paduraru; Petru-Liviu Bouruc; Alin Stefanescu","2026","ENASE 2026, volume 1, pages 420-427","10.5220/0014840300004015","https://doi.org/10.5220/0014840300004015","Agentic orchestration failures missed by final-output testing","Message-Action Traces, step/trace contracts, deterministic replay, bounded perturbation search, structured fault injection, and runtime governance","Trace/contracts framework and methodological paper","Contract examples and framework exposition; full empirical study left to future work","Closest trace-framework neighbor; overlaps trace recording, replay, stress, and fault injection","No CRN coupling validation, within/cross distinction, statistical claim admission, or empirical paired suppression","Implemented pairing-specific black-box admission workflow and case study","The trace-assurance framework of Paduraru, Bouruc, and Stefanescu uses Message-Action Traces for contracts, replay, fault injection, localization, and governance.","TRUE","Current manuscript sentence; publisher DOI and arXiv:2603.18096 author version verified."
"anand2026aeval","AEVAL: From Anecdotal to Deterministic Testing for Agentic Skill Workflows","Tejas Singh Anand; Yuet Ying Christina Wang; Wanting Jiang; Steve Masson; Tian Zheng; Bingjie Zhou","2026","arXiv:2607.16345 v2; accepted ICML 2026 workshop paper","10.48550/arXiv.2607.16345","https://arxiv.org/abs/2607.16345","Anecdotal agent-skill testing hides regressions and self-correction bias","CI-triggered evaluation contracts, executor/grader separation, per-run evidence, first-attempt grading, and fix suggestions","Evaluation config, transcript, artifacts, assertions, and CI signal","Production skill evaluations across multiple agent SDKs","Overlaps deterministic evidence-grounded testing, failure exposure, and fail-closed routing","No matched-seed coupling audit, within/cross distinction, statistical estimand admission, or paired suppression","Pairing-specific conformance and evidence-to-statistical-claim map","AEVAL turns agent-workflow changes into deterministic evaluation-contract tests and preserves first-attempt evidence.","TRUE","Current manuscript sentence; workshop acceptance is reported by the current primary arXiv record."
"bjarnason2026randomness","On Randomness in Agentic Evals","Bjarni Haukur Bjarnason; André Silva; Martin Monperrus","2026","arXiv:2602.07150 v3; preprint","10.48550/arXiv.2602.07150","https://arxiv.org/abs/2602.07150","Single-run pass@1 hides agent-evaluation variability even at nominal temperature zero","60,000 repeated trajectories, token-level divergence analysis, repeated-run and power recommendations","Task-level repeated runs and trajectories","Three models and two scaffolds on SWE-Bench-Verified","Direct semantic neighbor for within-condition variability and trajectory divergence","Independent repetition measures variability but does not validate same-seed coupling or cross-arm event identity","Trace-based cause-localized pairing admission rather than repetition alone","Recent empirical studies of randomness and repeated-trial inconsistency in agent evaluation further establish that run-to-run variation itself is not an unoccupied topic.","TRUE","Current composite manuscript sentence; current v3 primary record verified."
"mustahsan2025stochasticity","Stochasticity in Agentic Evaluations: Quantifying Inconsistency with Intraclass Correlation","Zairah Mustahsan; Abel Lim; Megna Anand; Saahil Jain; Bryan McCann","2025","arXiv:2512.06710 v1; preprint","10.48550/arXiv.2512.06710","https://arxiv.org/abs/2512.06710","Single accuracy values hide within-query agent inconsistency","Repeated trials and intraclass correlation decomposing between-query and within-query variance","Repeated query-trial outcomes and Evaluation Cards","GAIA and FRAMES repeated-trial empirical study","Direct semantic neighbor for reliability and within-task stochasticity","ICC quantifies inconsistency but does not validate a same-seed cross-arm event coupling or gate paired claims","Mechanistic trace evidence and claim admission beyond reliability measurement","Recent empirical studies of randomness and repeated-trial inconsistency in agent evaluation further establish that run-to-run variation itself is not an unoccupied topic.","TRUE","Current composite manuscript sentence; current primary arXiv record verified."
"bouthillier2019reproducible","Unreproducible Research is Reproducible","Xavier Bouthillier; César Laurent; Pascal Vincent","2019","ICML 2019, PMLR 97:725-734","PMLR v97/bouthillier19a","https://proceedings.mlr.press/v97/bouthillier19a.html","Reproducible code need not yield reproducible findings when variation is uncontrolled","Taxonomy and empirical analysis of sources of variation","Experiments, software, and reproducibility distinctions","Peer-reviewed conference study","Supports auditing sources of variation beyond code execution","Does not specify pairing gates, semantic events, or admission suppression","Pairing-specific operationalization","The broader empirical literature distinguishes reproducible code from reproducible findings, emphasizes explicit units and sources of variation, and recommends uncertainty-aware reporting across heterogeneous tasks.","TRUE","Current composite manuscript sentence; this source supports the reproducible-code/findings distinction."
"patterson2024empirical","Empirical Design in Reinforcement Learning","Andrew Patterson; Samuel Neumann; Martha White; Adam White","2024","Journal of Machine Learning Research 25(318):1-63","JMLR 23-0183","https://jmlr.org/papers/v25/23-0183.html","Weak empirical design and unclear variation/units in RL","Design guidance, analysis, and worked empirical principles","Empirical-design framework","Peer-reviewed journal tutorial and analysis","Supports explicit units, sources of variation, assumptions, and researcher decisions","Does not validate same-seed CRN or implement the admission protocol","Pairing-specific executable gates","The broader empirical literature distinguishes reproducible code from reproducible findings, emphasizes explicit units and sources of variation, and recommends uncertainty-aware reporting across heterogeneous tasks.","TRUE","Current composite manuscript sentence; JMLR metadata verified."
"agarwal2021statistical","Deep Reinforcement Learning at the Edge of the Statistical Precipice","Rishabh Agarwal; Max Schwarzer; Pablo Samuel Castro; Aaron Courville; Marc G. Bellemare","2021","NeurIPS 34:29304-29320","NeurIPS paper f514cec81cb148559cf475e7426eed5e","https://proceedings.neurips.cc/paper/2021/hash/f514cec81cb148559cf475e7426eed5e-Abstract.html","Unreliable aggregate evaluation under few runs and heterogeneous tasks","Robust aggregate metrics, interval estimation, and performance profiles","Statistical evaluation methods and library","Empirical reanalysis across deep-RL benchmarks","Supports uncertainty-aware reporting across heterogeneous tasks","Does not determine whether seed-paired observations form a valid coupling","Admission of paired versus downgraded analyses","The broader empirical literature distinguishes reproducible code from reproducible findings, emphasizes explicit units and sources of variation, and recommends uncertainty-aware reporting across heterogeneous tasks.","TRUE","Current composite manuscript sentence; official NeurIPS record verified."
"pineau2021reproducibility","Improving Reproducibility in Machine Learning Research (A Report from the NeurIPS 2019 Reproducibility Program)","Joelle Pineau; Philippe Vincent-Lamarre; Koustuv Sinha; Vincent Larivière; Alina Beygelzimer; Florence d'Alché-Buc; Emily Fox; Hugo Larochelle","2021","Journal of Machine Learning Research 22(164):1-20","JMLR 20-303","https://jmlr.org/papers/v22/20-303.html","Improving reproducibility practice and artifact reporting in machine learning","Code policy, checklist, challenge, and reproducibility program analysis","Program report and checklist evidence","Peer-reviewed journal report","Supports transparent artifact and reproducibility reporting","Does not certify the present package or pairing design","Pairing-specific executable evidence and suppression","The broader empirical literature distinguishes reproducible code from reproducible findings, emphasizes explicit units and sources of variation, and recommends uncertainty-aware reporting across heterogeneous tasks.","TRUE","Current composite manuscript sentence; official JMLR record verified."
"sargent2013verification","Verification and Validation of Simulation Models","Robert G. Sargent","2013","Journal of Simulation 7(1):12-24","10.1057/jos.2012.20","https://doi.org/10.1057/jos.2012.20","How simulation models should be verified, validated, and accredited for intended use","Conceptual framework and procedural guidance separating computerized-model verification and operational validation","V&V process framework","Published journal synthesis","Supports separating implementation checks from operational validity","Broader V&V does not define this seed-pairing evidence map","Specific black-box pairing protocol","Simulation verification and validation distinguish implementation checks from operational validity.","TRUE","Current manuscript sentence; publisher DOI verified."
