claim_id,manuscript_section,manuscript_anchor,exact_claim_text,claim_type,importance,support_type,supporting_dataset,dataset_sha256,supporting_code,reproduction_command,output_file,output_key,estimand,experimental_unit,numerator,denominator,interval_or_uncertainty,supporting_citation,citation_full_text_verified,reaggregation_check,known_limitation,status,reviewer_note
STOP-C01,FAIL_CLOSED_REPORT,repository-and-lineage,"The verified local branch remote branch and supplied audited state all began at SHA 91ad7fa9571ee0ca10200fd7fe7b589589e8b794 with divergence 0/0.",provenance,CENTRAL,git-and-audit,independent_confirmation/REPOSITORY_AUDIT.json,e0fc819512a25b56b09441cc4300daa62c5e59a18d0b5bfb5d98b5f130fb47ed,independent_confirmation/verify_stop_record.py,"git rev-parse HEAD; git rev-list --left-right --count",independent_confirmation/REPOSITORY_AUDIT.json,new_branch_base_sha,repository-state,git-branch,NOT_APPLICABLE,NOT_APPLICABLE,exact-git-identity,NOT_APPLICABLE,NOT_APPLICABLE,PARTIAL,"Remote state can change after verification.",VERIFIED,"Human should inspect private-origin permissions and remote UI."
STOP-C02,FAIL_CLOSED_REPORT,preserved-failed-campaign,"All 27 path/hash pairs in the historical freeze record matched the freeze-input commit and the historical tag object and peel matched the private origin.",provenance,CENTRAL,git-hash-recomputation,independent_confirmation/REPOSITORY_AUDIT.json,e0fc819512a25b56b09441cc4300daa62c5e59a18d0b5bfb5d98b5f130fb47ed,independent_confirmation/verify_stop_record.py,"python independent_confirmation/verify_stop_record.py",independent_confirmation/REPOSITORY_AUDIT.json,freeze.frozen_input_hashes_matched,freeze-record-path,27-frozen-paths,27,27,exact-count,NOT_APPLICABLE,NOT_APPLICABLE,YES,"Remote verification requires private-origin access.",VERIFIED,"Recheck the remote tag before relying on it."
STOP-C03,FAIL_CLOSED_REPORT,preserved-failed-campaign,"The preserved failed-campaign raw archive contains 125600 rows with uncompressed SHA-256 792b6fd0a830c0c1b357becb0e7be661a8ceb9147b3a6ec2faadf604c5e447b1.",numerical,CENTRAL,archive-decompression-and-hash,prospective_repair/results/final/raw_rows.jsonl.xz,b22ad70dfe9732990184e0a8ee117193bb385dca92388f2ea236c8092b04919b,independent_confirmation/verify_stop_record.py,"python independent_confirmation/verify_stop_record.py",independent_confirmation/REPOSITORY_AUDIT.json,raw_holdout,archived-row-identity,jsonl-row,125600,125600,exact-count-and-sha256,NOT_APPLICABLE,NOT_APPLICABLE,YES,"This is failed-campaign data and not new evidence.",VERIFIED,"Do not reinterpret as confirmatory evidence for this campaign."
STOP-C04,FAIL_CLOSED_REPORT,preserved-failed-campaign,"The preserved failed-campaign cost archive contains 4800 rows with uncompressed SHA-256 17c1f296bf6821ea5638109e329e0122f6e40fc3528c04f56935c9fb4a2e8237.",numerical,HIGH,archive-decompression-and-hash,prospective_repair/results/final/cost_rows.jsonl.xz,e1cf7efaaa3cb14abdeef3bed05e81d9fe720c8f3aefac857aa2d741ef11589b,independent_confirmation/verify_stop_record.py,"python independent_confirmation/verify_stop_record.py",independent_confirmation/REPOSITORY_AUDIT.json,cost_bank,archived-row-identity,jsonl-row,4800,4800,exact-count-and-sha256,NOT_APPLICABLE,NOT_APPLICABLE,YES,"The prior analysis did not validly ingest these measurements.",VERIFIED,"Do not report these as costs of a new campaign."
STOP-C05,FAIL_CLOSED_REPORT,defect-disposition,"The failed-campaign defect ledger contains 55 unique defects: 51 preserved open and four preserved integrity failures.",numerical,CENTRAL,csv-reaggregation,independent_confirmation/DEFECT_LEDGER.csv,3d2e2321d2cb856ff0e000c0208fcc8052f68ac9e9080c6597c9f2f1432d6040,independent_confirmation/verify_stop_record.py,"python independent_confirmation/verify_stop_record.py",independent_confirmation/DEFECT_LEDGER.csv,disposition,registered-defect,defect-row,55,55,exact-count,NOT_APPLICABLE,NOT_APPLICABLE,YES,"Many original line locations remain UNKNOWN because the novelty stop precluded repair tracing.",VERIFIED,"Review every row and disposition."
STOP-C06,FAIL_CLOSED_REPORT,defect-disposition,"The historically frozen analysis file was materially rewritten after the failed campaign's final acquisition and the change was outside the logged machinery exception.",implementation-specific,CENTRAL,git-history-and-file-hash,independent_confirmation/DEFECT_LEDGER.csv,3d2e2321d2cb856ff0e000c0208fcc8052f68ac9e9080c6597c9f2f1432d6040,git,"git diff cfeef395ed708ef640ff8e7322b8f2e1ec7550cb 246e2dec -- prospective_repair/analysis/analyze.py",independent_confirmation/DEFECT_LEDGER.csv,FREEZE-ANALYSIS-REWRITE,historical-freeze-integrity,analysis-file,151-additions-and-168-deletions,NOT_APPLICABLE,git-diff,NOT_APPLICABLE,NOT_APPLICABLE,PARTIAL,"The defect invalidates prospective analysis integrity but is not repaired retroactively.",VERIFIED,"Inspect the historical commits directly."
STOP-C07,FAIL_CLOSED_REPORT,novelty-decision,"Thirteen important primary or official sources were inspected at the sections or pages recorded in the full-text ledger.",numerical,HIGH,citation-ledger,independent_confirmation/literature/FULL_TEXT_VERIFICATION.csv,890969e5bc9eb24b8571dd8ffccf2aadc144f30409d66142e989c048630299b9,independent_confirmation/verify_stop_record.py,"python independent_confirmation/verify_stop_record.py",independent_confirmation/literature/FULL_TEXT_VERIFICATION.csv,full_text_inspected,important-source,source-row,13,13,exact-count,"L01-L13",YES,YES,"Full-text inspection was AI-assisted and requires human verification.",VERIFIED,"Human should open every central source."
STOP-C08,FAIL_CLOSED_REPORT,novelty-decision,"No central scientific contribution survived the hostile prior-art comparison; the exact surviving contribution is none.",novelty-related,CENTRAL,source-synthesis,independent_confirmation/literature/NOVELTY_CLAIM_MATRIX.md,e5c71ef9aebd42eb492d15c2def6e318b42281651c4df0efbf2100cea7fa0ddc,NOT_APPLICABLE,"Review L01-L13 and the novelty matrix",independent_confirmation/literature/NOVELTY_VERDICT.json,exact_surviving_contribution,novelty-judgment,proposed-contribution,0,9-kill-conditions,qualitative-hostile-comparison,"L01-L13",YES,NOT_APPLICABLE,"Novelty is a judgment and has not received human scholarly review.",HUMAN_VERIFICATION_REQUIRED,"This central judgment intentionally blocks publication readiness."
STOP-C09,FAIL_CLOSED_REPORT,confirmatory-design-and-results,"The new campaign created zero confirmatory constructions and zero rows and did not create or view new outcomes.",numerical,CENTRAL,filesystem-and-git-tree-check,independent_confirmation/FINAL_STATUS.json,NOT_APPLICABLE,independent_confirmation/verify_stop_record.py,"python independent_confirmation/verify_stop_record.py",independent_confirmation/FINAL_STATUS.json,new_campaign.confirmatory_rows,new-campaign-output,new-campaign-row,0,0,exact-absence,NOT_APPLICABLE,NOT_APPLICABLE,YES,"Absence is checked for declared campaign paths; no claim is made about unrelated user files.",VERIFIED,"Confirm no external or untracked outcome path was used."
STOP-C10,FAIL_CLOSED_REPORT,confirmatory-design-and-results,"No new freeze record or freeze tag was created because novelty failed before prospective design and acquisition.",process,CENTRAL,filesystem-and-tag-check,independent_confirmation/FINAL_STATUS.json,NOT_APPLICABLE,independent_confirmation/verify_stop_record.py,"python independent_confirmation/verify_stop_record.py",independent_confirmation/FINAL_STATUS.json,new_campaign.new_freeze_created,new-campaign-freeze,freeze-artifact,0,0,exact-absence,NOT_APPLICABLE,NOT_APPLICABLE,YES,"The historical failed-campaign freeze remains and is reported separately.",VERIFIED,"Do not confuse the historical tag with a new freeze."
