component,creator,owner,third_party_content,redistribution_authority,proposed_license,inclusion_exclusion_decision,notes
"synthetic conformance code","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","No third-party code identified by the bounded release scan; legal review still required","UNRESOLVED","PENDING_HUMAN_APPROVAL","INCLUDE_IN_LOCAL_REVIEW_PACKAGE_ONLY","Do not call public or redistributable until ownership and license are approved"
"admission rule engine","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","No third-party code identified; legal review still required","UNRESOLVED","PENDING_HUMAN_APPROVAL","INCLUDE_IN_LOCAL_REVIEW_PACKAGE_ONLY","Post-acquisition conservative taxonomy and executable formalization; not evidence of prospective validation and must be frozen before acquisition in future studies"
"software and property tests","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","No third-party code identified; legal review still required","UNRESOLVED","PENDING_HUMAN_APPROVAL","INCLUDE_IN_LOCAL_REVIEW_PACKAGE_ONLY","Test dependencies are not vendored"
"processed historical diagnostics","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","Derived from restricted engine and third-party packages","UNRESOLVED","PENDING_HUMAN_APPROVAL","INCLUDE_NEUTRALIZED_ROWS_IN_LOCAL_REVIEW_PACKAGE_ONLY","Historical gate was frozen retrospectively after outcomes existed and is not prospective blinding evidence; privacy and derived-record authority require human/legal confirmation"
"processed deterministic preflight diagnostics","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","Derived from restricted engine and third-party packages","UNRESOLVED","PENDING_HUMAN_APPROVAL","INCLUDE_NEUTRALIZED_ROWS_IN_LOCAL_REVIEW_PACKAGE_ONLY","Raw observations and traces are excluded"
"processed timed-search diagnostics","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","Derived from restricted engine and third-party packages","UNRESOLVED","PENDING_HUMAN_APPROVAL","INCLUDE_NEUTRALIZED_ROWS_IN_LOCAL_REVIEW_PACKAGE_ONLY","Frozen digest endpoint and later digest-plus-byte hardening both give 99/200; promised first-divergence position actor localization and timing summaries are omitted, with no raw trace lines for independent localization verification"
"processed factorial rows","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","Derived from restricted engine and third-party packages","UNRESOLVED","PENDING_HUMAN_APPROVAL","INCLUDE_NEUTRALIZED_ROWS_IN_LOCAL_REVIEW_PACKAGE_ONLY","Contains schedule/outcome/decision fields; no trace digests"
"frozen protocols and review transcriptions","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","May describe restricted systems but contains no binaries","UNRESOLVED","PENDING_HUMAN_APPROVAL","INCLUDE_SANITIZED_TRANSCRIPTIONS_IN_LOCAL_REVIEW_PACKAGE_ONLY","Frozen source protocol remains unchanged; supporting deviation record is UNSIGNED/PENDING and does not invent an amendment"
"protocol chronology and deviation register","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","May describe restricted evidence boundaries but contains no restricted trace lines","UNRESOLVED","PENDING_HUMAN_APPROVAL","INCLUDE_IN_LOCAL_REVIEW_PACKAGE_ONLY","Separates frozen binary gates plus planned paired-bootstrap/McNemar analysis from post-acquisition descriptive relabeling and records the unresolved localization/actor/timing reporting-access deviation"
"figures and tables","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","UNCONFIRMED_HUMAN_REVIEW_REQUIRED","No game art or generative-image output identified","UNRESOLVED","PENDING_HUMAN_APPROVAL","INCLUDE_IN_LOCAL_REVIEW_PACKAGE_ONLY","Generated deterministically from staged source data"
