claim_id,manuscript_section,claim,raw_source,source_hash,protocol_commit,command,analysis_script,unit,denominator,estimate,uncertainty,assumptions,allowed_wording,forbidden_wording,status
C001,Abstract/8,The retained corpus contains 34160 decision cells and 854 outcome pairs.,redesign/results/final/raw/decisions_and_pairs.jsonl,ead6dd392c61767c914f9bb1956b7a82213c5889f3e95faf15c4a3f3ec5d2540,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,rows,35014,exact count,none; exact corpus count,JSONL parses and level field is valid,report exact retained counts,call S7 accidental missingness,VERIFIED
C002,8,The raw-integrity audit passes and binds the raw file to its SHA-256.,redesign/results/final/aggregates/raw_integrity.json,f2500750e6132055cd96513e51b15d0d855ecf71bbff76d133c64a047b7e2a22,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,file,1,cryptographic digest,none,SHA-256 implementation,state PASS with digest,imply independent scientific validation,DERIVED_BY_CHECKED_SCRIPT
C003,4/5,S7 retains 27/40 rows per system by the frozen drop-every-third construction.,redesign/protocol/EXPECTED_DECISION_TABLE.json,36d1cb42cee7d4e49a9454ea53d39b864dcacbc7c732f5ecf8bbd484ff26e4ed,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,schedule rows per system,40,27 retained exactly,none; deterministic schedule rule,manifest order and runner rule,planned missingness,silent accidental loss,VERIFIED
C004,Abstract/8,B7 Branch-B hard-invalid detection is 100.0% (160/160).,redesign/results/final/aggregates/decision_metrics.json,be0de44bb82a2aee29c39a90d786ea73b8454e65f0e4ef83bd02334fc33bd388,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,labeled decision cell,160,100.0%,"Wilson [0.977,1.000]",construction labels; cell unit,detected all designed hard-invalid Branch-B cells,generalizes to natural failure prevalence,DERIVED_BY_CHECKED_SCRIPT
C005,Abstract/8,B7 Branch-B false suppression is 37.5% (120/320).,redesign/results/final/aggregates/decision_metrics.json,be0de44bb82a2aee29c39a90d786ea73b8454e65f0e4ef83bd02334fc33bd388,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,labeled decision cell,320,37.5%,"Wilson [0.324,0.429]",construction-valid labels,suppressed/downgraded valid designed cells,universal real-world false-suppression rate,DERIVED_BY_CHECKED_SCRIPT
C006,Abstract/8,B5 Branch-B detection is 100.0% and false suppression is 0.0%.,redesign/results/final/aggregates/decision_metrics.json,be0de44bb82a2aee29c39a90d786ea73b8454e65f0e4ef83bd02334fc33bd388,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,labeled decision cell,invalid 160; valid 320,100.0%; 0.0%,Wilson intervals in source,same scenario bank as B7,observed on frozen bank,equivalent to B7 or universally better,DERIVED_BY_CHECKED_SCRIPT
C007,Abstract/8/15,B7 overall detection is 89.4% and pooled false suppression is 14.6%; the gate fails.,redesign/results/final/aggregates/success_criteria.json,22bd766bf9134a760318e5642a83183cd797ced84d065002b7b79cff7ce09529,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,labeled decision cell,all applicable hard-invalid/valid cells,gate=false,branch Wilson intervals,prespecified criteria,failed predeclared recommendation gate,framework invalid in every possible use,DERIVED_BY_CHECKED_SCRIPT
C008,8,B7 Branch-C detection is 48.8%.,redesign/results/final/aggregates/decision_metrics.json,be0de44bb82a2aee29c39a90d786ea73b8454e65f0e4ef83bd02334fc33bd388,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,labeled decision cell,320,48.8%,"Wilson [0.433,0.542]",frozen labels include defective Ising mechanics,reference implementation missed designed Branch-C labels,natural replay failure sensitivity,VERIFIED_WITH_CAVEAT
C009,11,"B7 differs by system: hold'em detection 99.1%, Ising 79.7%.",redesign/results/final/aggregates/cross_system.json,a1be13d8a14ef02b0d09cff4c54da388f0f7ed6d0df7f30e4bc1f4b0a3183908,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,labeled decision cell,two systems,system-specific pooled rates,descriptive only,systems and wrappers differ,cross-system magnitude difference,causal attribution to domain,VERIFIED_WITH_CAVEAT
C010,11,Cross-system Kendall tau-b is 0.81.,redesign/results/final/aggregates/cross_system.json,a1be13d8a14ef02b0d09cff4c54da388f0f7ed6d0df7f30e4bc1f4b0a3183908,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,eight method scores,8 methods x 2 systems,tau-b=0.808290,no interval; two systems,predeclared M1-M2 ordering only,rank association,probability/utility or broad consistency,DERIVED_BY_CHECKED_SCRIPT
