claim_id,exact_sentence,manuscript_location,claim_type,status,raw_source,source_sha256,protocol_commit,analysis_script,analysis_script_sha256,command,analysis_unit,sample_size,estimate,interval_or_test,assumptions,limitations,prior_work_overlap,allowed_wording,forbidden_wording,machine_verified,human_verified,notes
AUTO-00180f79dc854cb6,Thus ``complete recorded trace projection'' always means complete only within this declared projection.,Execution repeatability,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-0140f11aa21281d4,"Controlled synthetic modes pass deterministic fixtures, detect seed conversion and execution-state failures, expose stateful draw-index misalignment, demonstrate event-keyed repair only within a declared ontology, and reject schema or manifest tampering.",Abstract,quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/source_data/statistics_verification.json;paper/final_protocol/source_data/build_report.json,6a8a2bbd083896bfcdb5230b03307bcfcaabe45657a87c91f608b0ef2f89f330;dbf64950a361dd7361a8eccb435fc1e83c3edceb33be6b31a5cab669d0634d32,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,"Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative, procedural"
AUTO-02c77294ec69c815,"Unknown-state fail-closedness maps missing, malformed, contradictory, or unrecognized states to suppression, while claim-class ordering prevents schedule evidence from producing execution or event-aligned wording.",Executable admission map and formal properties,quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/source_data/statistics_verification.json;paper/final_protocol/source_data/build_report.json,6a8a2bbd083896bfcdb5230b03307bcfcaabe45657a87c91f608b0ef2f89f330;dbf64950a361dd7361a8eccb435fc1e83c3edceb33be6b31a5cab669d0634d32,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative
AUTO-04a3d0c04f2acd89,The evidence supports four bounded conclusions.,Interpretation and permitted claims,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-05990e045d7cadf4,The total fixed-package contrast on that battery was \PrimaryEstimatePP{} \pp{}.,Claim-admission consequence,quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/NOVELTY_AUDIT.md;paper/final_protocol/NOVELTY_MATRIX.csv;paper/final_protocol/REFERENCE_AUDIT.csv,aa6885cf2118f696caf4370af1b1ca67e99f02fb1634e2043291ccf9a986546d;69d75b44ad1bc5484a49b65666e60fb11e2ab46669c37ba26e7a3983efc03576;b3f4e50d4643cae843bd64259f62c0f2b93120474812c5c6865e647e8f6c8ec5,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,"Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative, comparative"
AUTO-06fc349fede9498e,"Stage 1 hashes the simulator, policies, opponents, protocol, evaluator, and configuration.","Stages 1--3: identity, boundary seed, and schedule",quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/source_data/statistics_verification.json;paper/final_protocol/source_data/build_report.json,6a8a2bbd083896bfcdb5230b03307bcfcaabe45657a87c91f608b0ef2f89f330;dbf64950a361dd7361a8eccb435fc1e83c3edceb33be6b31a5cab669d0634d32,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,"Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative, procedural"
AUTO-0784c82bb84990e6,"The experiment-specific protocol content first appears at commit \ProtocolCommitShort, and the retained result artifacts appear in descendant commits.",Prospective validation results,novelty,VERIFIED_WITH_CAVEAT,paper/final_protocol/NOVELTY_AUDIT.md;paper/final_protocol/NOVELTY_MATRIX.csv;paper/final_protocol/REFERENCE_AUDIT.csv,aa6885cf2118f696caf4370af1b1ca67e99f02fb1634e2043291ccf9a986546d;69d75b44ad1bc5484a49b65666e60fb11e2ab46669c37ba26e7a3983efc03576;b3f4e50d4643cae843bd64259f62c0f2b93120474812c5c6865e647e8f6c8ec5,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,"Automatically added by the deterministic exhaustive prose-scope pass; matched classes: novelty, procedural"
AUTO-07bee232639d3845,The protocol records the scope in both directions.,Interpretation and permitted claims,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-0c31d0de92a6e707,A missing required profile invalidates the gate rather than being omitted from the set or denominator.,Execution repeatability,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-0d0943d5d59f3c29,Property tests also establish functional result invariance: replacing an outcome payload while holding gate evidence fixed does not change admission.,Prospective validation results,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
