reference_id,title,authors,venue_status,year,doi_or_identifier,canonical_url,exact_sentence_supported,metadata_checked,status,caveat
R01,When Does Pairing Seeds Reduce Variance? Evidence from a Multi-Agent Economic Simulation,Udit Sharma,arXiv preprint v3,2025/2026 revision,10.48550/arXiv.2512.24145,https://arxiv.org/abs/2512.24145,paired-seed variance theory in one simulator,2026-08-26,VERIFIED,Primary current record checked directly.
R02,Realizing Common Random Numbers: Event-Keyed Hashing for Causally Valid Stochastic Models,Vince Buffalo; Carl A. B. Pearson; Daniel Klein,arXiv preprint,2026,10.48550/arXiv.2603.11084,https://arxiv.org/abs/2603.11084,stateful draw shifts and event-keyed remedy,2026-08-26,VERIFIED,Primary current record checked directly.
R03,Rollout Cards: A Reproducibility Standard for Agent Research,Charlie Masters; Ziyuan Liu; Stefano V. Albrecht,arXiv preprint,2026,10.48550/arXiv.2605.12131,https://arxiv.org/abs/2605.12131,rollout records and drop manifests,2026-08-26,VERIFIED,Primary current record checked directly.
R04,Automated Synthesis and Adversarial Validation of Executable Causal Research Pipelines,Irena Girshovitz; Dan Zeltzer; Ran Gilad-Bachrach,arXiv preprint,2026,10.48550/arXiv.2607.21173,https://arxiv.org/abs/2607.21173,planted causal violations and validity-first downgrades,2026-08-26,VERIFIED,Primary current record checked directly.
R05,Deterministic Replay for AI Agent Systems,Rasheed Mudasiru,arXiv preprint,2026,10.48550/arXiv.2607.16200,https://arxiv.org/abs/2607.16200,deterministic replay infrastructure,2026-08-26,VERIFIED,Primary current record checked directly.
R06,Some Guidelines and Guarantees for Common Random Numbers,Paul Glasserman; David D. Yao,Management Science 38(6),1992,10.1287/mnsc.38.6.884,https://doi.org/10.1287/mnsc.38.6.884,classical CRN guidance,2026-08-26,VERIFIED_WITH_CAVEAT,Metadata carried from prior audited bibliography; human full-text sentence check still required.
R07,An Object-Oriented Random-Number Package with Many Long Streams and Substreams,Pierre L'Ecuyer; Richard Simard; E. Jack Chen; W. David Kelton,Operations Research 50(6),2002,10.1287/opre.50.6.1073.358,https://doi.org/10.1287/opre.50.6.1073.358,streams and substreams,2026-08-26,VERIFIED_WITH_CAVEAT,Metadata carried from prior audited bibliography; human full-text sentence check still required.
R08,Empirical Design in Reinforcement Learning,Andrew Patterson; Samuel Neumann; Martha White; Adam White,JMLR 25(318),2024,,https://www.jmlr.org/papers/v25/23-0183.html,RL empirical design,2026-08-26,VERIFIED_WITH_CAVEAT,Metadata carried from prior audited bibliography; human full-text sentence check still required.
R09,Deep Reinforcement Learning at the Edge of the Statistical Precipice,Rishabh Agarwal et al.,NeurIPS 34,2021,,https://proceedings.neurips.cc/paper/2021/hash/f514cec81cb148559cf475e7426eed5e-Abstract.html,uncertainty and aggregation in RL,2026-08-26,VERIFIED_WITH_CAVEAT,Metadata carried from prior audited bibliography; human full-text sentence check still required.
R10,Bootstrapping Clustered Data,C. A. Field; A. H. Welsh,JRSS B 69(3),2007,10.1111/j.1467-9868.2007.00593.x,https://doi.org/10.1111/j.1467-9868.2007.00593.x,cluster bootstrap assumptions,2026-08-26,VERIFIED_WITH_CAVEAT,Metadata carried from prior audited bibliography; human full-text sentence check still required.
R11,Verification and Validation of Simulation Models,Robert G. Sargent,Journal of Simulation 7(1),2013,10.1057/jos.2012.20,https://doi.org/10.1057/jos.2012.20,simulation V&V background,2026-08-26,VERIFIED_WITH_CAVEAT,Metadata carried from prior audited bibliography; human full-text sentence check still required.
R12,RLCard: A Toolkit for Reinforcement Learning in Card Games,Daochen Zha et al.,arXiv preprint,2019,10.48550/arXiv.1910.04376,https://arxiv.org/abs/1910.04376,RLCard system description,2026-08-26,VERIFIED_WITH_CAVEAT,Metadata carried from prior audited bibliography; human full-text sentence check still required.
