bibkey,exact_title,all_authors,year,venue,identifier,publication_status,primary_source,verification_status,notes
kaliyev2026noisefloor,How Much Coordination Gain Is Real? A Paired Noise-Floor Protocol for Multi-Agent LLM Benchmarks,Alibek T. Kaliyev; Artem Maryanskyy,2026,KDD 2026 Workshop on Evaluation and Trustworthiness of Agentic AI (non-archival); arXiv:2606.20695,arXiv:2606.20695,workshop paper + preprint,https://arxiv.org/abs/2606.20695,VERIFIED_MATCH,workshop acceptance corroborated on official workshop site
zhang2026protocolcards,Beyond Leaderboards: Protocol Cards for Trustworthy Coding-Agent Evaluation,Keqin Zhang; Sharon Lee,2026,KDD 2026 Workshop on Evaluation and Trustworthiness of Agentic AI (non-archival),workshop paper 26,workshop paper,https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/26_Beyond_Leaderboards_Protoco.pdf,VERIFIED_MATCH,official workshop page lists paper #26
glasserman1992crn,Some Guidelines and Guarantees for Common Random Numbers,Paul Glasserman; David D. Yao,1992,Management Science 38(6):884-908,10.1287/mnsc.38.6.884,peer-reviewed article,https://doi.org/10.1287/mnsc.38.6.884,VERIFIED_MATCH,
lecuyer2002streams,An Object-Oriented Random-Number Package with Many Long Streams and Substreams,Pierre L'Ecuyer; Richard Simard; E. Jack Chen; W. David Kelton,2002,Operations Research 50(6):1073-1075,10.1287/opre.50.6.1073.358,peer-reviewed article,https://doi.org/10.1287/opre.50.6.1073.358,VERIFIED_MATCH,
sharma2025pairedseeds,When Does Pairing Seeds Reduce Variance? Evidence from a Multi-Agent Economic Simulation,Udit Sharma,2025,arXiv:2512.24145 (v1 2025-12-30; v3 2026-01-31),arXiv:2512.24145,preprint,https://arxiv.org/abs/2512.24145,VERIFIED_MATCH,v1 carried a different title; cited title matches current version
buffalo2026eventkeyed,Realizing Common Random Numbers: Event-Keyed Hashing for Causally Valid Stochastic Models,Vince Buffalo; Carl A. B. Pearson; Daniel Klein,2026,arXiv:2603.11084 v1,arXiv:2603.11084,preprint,https://arxiv.org/abs/2603.11084,VERIFIED_MATCH,
masters2026rolloutcards,Rollout Cards: A Reproducibility Standard for Agent Research,Charlie Masters; Ziyuan Liu; Stefano V. Albrecht,2026,arXiv:2605.12131 v1,arXiv:2605.12131,preprint,https://arxiv.org/abs/2605.12131,VERIFIED_MATCH,
paduraru2026traceassurance,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",Ciprian Paduraru; Petru-Liviu Bouruc; Alin Stefanescu,2026,"Proc. 21st Int. Conf. Evaluation of Novel Approaches to Software Engineering (ENASE 2026), SciTePress, pp. 420-427",10.5220/0014840300004015,peer-reviewed conference paper,https://doi.org/10.5220/0014840300004015,VERIFIED_MATCH,subtitle present in our bib entry
anand2026aeval,AEVAL: From Anecdotal to Deterministic Testing for Agentic Skill Workflows,Tejas Singh Anand; Yuet Ying Christina Wang; Wanting Jiang; Steve Masson; Tian Zheng; Bingjie Zhou,2026,arXiv:2607.16345 v2; ICML 2026 Workshop on Statistical Frameworks for Uncertainty in Agentic Systems,arXiv:2607.16345,preprint (workshop-accepted),https://arxiv.org/abs/2607.16345,VERIFIED_MATCH,
bjarnason2026randomness,On Randomness in Agentic Evals,Bjarni Haukur Bjarnason; Andre Silva; Martin Monperrus,2026,arXiv:2602.07150 (v1 2026-02-06; v3 2026-03),arXiv:2602.07150,preprint,https://arxiv.org/abs/2602.07150,VERIFIED_MATCH,
mustahsan2025stochasticity,Stochasticity in Agentic Evaluations: Quantifying Inconsistency with Intraclass Correlation,Zairah Mustahsan; Abel Lim; Megna Anand; Saahil Jain; Bryan McCann,2025,arXiv:2512.06710 v1,arXiv:2512.06710,preprint,https://arxiv.org/abs/2512.06710,VERIFIED_MATCH,
salmon2011parallel,"Parallel Random Numbers: As Easy as 1, 2, 3",John K. Salmon; Mark A. Moraes; Ron O. Dror; David E. Shaw,2011,"SC '11, ACM, pp. 16:1-16:12",10.1145/2063384.2063405,peer-reviewed conference paper,https://doi.org/10.1145/2063384.2063405,VERIFIED_MATCH,
bouthillier2019reproducible,Unreproducible Research is Reproducible,Xavier Bouthillier; Cesar Laurent; Pascal Vincent,2019,"ICML 2019, PMLR 97:725-734",PMLR v97,peer-reviewed conference paper,https://proceedings.mlr.press/v97/bouthillier19a.html,VERIFIED_MATCH,
patterson2024empirical,Empirical Design in Reinforcement Learning,Andrew Patterson; Samuel Neumann; Martha White; Adam White,2024,JMLR 25(318):1-63,JMLR v25/23-0183,peer-reviewed journal,https://jmlr.org/papers/v25/23-0183.html,VERIFIED_MATCH,
agarwal2021statistical,Deep Reinforcement Learning at the Edge of the Statistical Precipice,Rishabh Agarwal; Max Schwarzer; Pablo Samuel Castro; Aaron Courville; Marc G. Bellemare,2021,NeurIPS 2021,NeurIPS 2021,peer-reviewed conference paper,https://proceedings.neurips.cc/paper_files/paper/2021/hash/f5f1f69047fe5e1f14a008d781f2cde5-Abstract.html,VERIFIED_MATCH,
pineau2021reproducibility,Improving Reproducibility in Machine Learning Research (A Report from the NeurIPS 2019 Reproducibility Program),Joelle Pineau; Philippe Vincent-Lamarre; Koustuv Sinha; Vincent Lariviere; Alina Beygelzimer; Florence d'Alche-Buc; Emily Fox; Hugo Larochelle,2021,JMLR 22(164):1-20,JMLR 22(164),peer-reviewed journal,https://jmlr.org/papers/v22/20-748.html,VERIFIED_MATCH,
field2007clustered,Bootstrapping Clustered Data,C. A. Field; A. H. Welsh,2007,JRSS-B 69(3):369-390,10.1111/j.1467-9868.2007.00593.x,peer-reviewed journal,https://doi.org/10.1111/j.1467-9868.2007.00593.x,VERIFIED_MATCH,
