experiment,candidate_hash,control_hash,opponent,opponent_family,opponent_role,opponent_hash,seed,pair_index,actual_order,physical_seat,candidate_outcome,control_outcome,candidate_win,control_win,candidate_draw,control_draw,candidate_error,control_error,candidate_opponent_error,control_opponent_error,latency_candidate_ms,latency_control_ms,source_artifact,source_sha256
fresh_confirmation,83489e0c80c631763c65375d2a7a34d28d6aa9fbb1d11e89d130c83b1e27f1c0,13426288358d597ead809e45c364c7f7b9274a6eebf55ddd942142e3326535c3,B0,Grim,baseline,0c15b56adf3b09c654505a152309fdc9f8401579a495da714347d98ae735003c,202608230000,0,first,0,win,win,1,1,0,0,0,0,0,0,,,paper/data/fresh_confirmation/raw/grim_b0.json,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb
fresh_confirmation,83489e0c80c631763c65375d2a7a34d28d6aa9fbb1d11e89d130c83b1e27f1c0,13426288358d597ead809e45c364c7f7b9274a6eebf55ddd942142e3326535c3,B0,Grim,baseline,0c15b56adf3b09c654505a152309fdc9f8401579a495da714347d98ae735003c,202608230001,1,first,1,loss,win,0,1,0,0,0,0,0,0,,,paper/data/fresh_confirmation/raw/grim_b0.json,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb
fresh_confirmation,83489e0c80c631763c65375d2a7a34d28d6aa9fbb1d11e89d130c83b1e27f1c0,13426288358d597ead809e45c364c7f7b9274a6eebf55ddd942142e3326535c3,B0,Grim,baseline,0c15b56adf3b09c654505a152309fdc9f8401579a495da714347d98ae735003c,202608230002,2,first,0,loss,win,0,1,0,0,0,0,0,0,,,paper/data/fresh_confirmation/raw/grim_b0.json,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb
fresh_confirmation,83489e0c80c631763c65375d2a7a34d28d6aa9fbb1d11e89d130c83b1e27f1c0,13426288358d597ead809e45c364c7f7b9274a6eebf55ddd942142e3326535c3,B0,Grim,baseline,0c15b56adf3b09c654505a152309fdc9f8401579a495da714347d98ae735003c,202608230003,3,first,1,win,win,1,1,0,0,0,0,0,0,,,paper/data/fresh_confirmation/raw/grim_b0.json,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb
fresh_confirmation,83489e0c80c631763c65375d2a7a34d28d6aa9fbb1d11e89d130c83b1e27f1c0,13426288358d597ead809e45c364c7f7b9274a6eebf55ddd942142e3326535c3,B0,Grim,baseline,0c15b56adf3b09c654505a152309fdc9f8401579a495da714347d98ae735003c,202608230004,4,first,0,win,loss,1,0,0,0,0,0,0,0,,,paper/data/fresh_confirmation/raw/grim_b0.json,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb
fresh_confirmation,83489e0c80c631763c65375d2a7a34d28d6aa9fbb1d11e89d130c83b1e27f1c0,13426288358d597ead809e45c364c7f7b9274a6eebf55ddd942142e3326535c3,B0,Grim,baseline,0c15b56adf3b09c654505a152309fdc9f8401579a495da714347d98ae735003c,202608230005,5,first,1,loss,loss,0,0,0,0,0,0,0,0,,,paper/data/fresh_confirmation/raw/grim_b0.json,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb
fresh_confirmation,83489e0c80c631763c65375d2a7a34d28d6aa9fbb1d11e89d130c83b1e27f1c0,13426288358d597ead809e45c364c7f7b9274a6eebf55ddd942142e3326535c3,B0,Grim,baseline,0c15b56adf3b09c654505a152309fdc9f8401579a495da714347d98ae735003c,202608230006,6,first,0,win,win,1,1,0,0,0,0,0,0,,,paper/data/fresh_confirmation/raw/grim_b0.json,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb
fresh_confirmation,83489e0c80c631763c65375d2a7a34d28d6aa9fbb1d11e89d130c83b1e27f1c0,13426288358d597ead809e45c364c7f7b9274a6eebf55ddd942142e3326535c3,B0,Grim,baseline,0c15b56adf3b09c654505a152309fdc9f8401579a495da714347d98ae735003c,202608230007,7,first,1,loss,win,0,1,0,0,0,0,0,0,,,paper/data/fresh_confirmation/raw/grim_b0.json,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb
fresh_confirmation,83489e0c80c631763c65375d2a7a34d28d6aa9fbb1d11e89d130c83b1e27f1c0,13426288358d597ead809e45c364c7f7b9274a6eebf55ddd942142e3326535c3,B0,Grim,baseline,0c15b56adf3b09c654505a152309fdc9f8401579a495da714347d98ae735003c,202608230008,8,first,0,loss,loss,0,0,0,0,0,0,0,0,,,paper/data/fresh_confirmation/raw/grim_b0.json,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb
fresh_confirmation,83489e0c80c631763c65375d2a7a34d28d6aa9fbb1d11e89d130c83b1e27f1c0,13426288358d597ead809e45c364c7f7b9274a6eebf55ddd942142e3326535c3,B0,Grim,baseline,0c15b56adf3b09c654505a152309fdc9f8401579a495da714347d98ae735003c,202608230009,9,first,1,win,win,1,1,0,0,0,0,0,0,,,paper/data/fresh_confirmation/raw/grim_b0.json,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb
