mode,level,level_name,level_kind,status,catches_failure,evidence_sha256,summary
clean_deterministic,1,artifact_identity,evidence_gate,pass,false,d7b615e74dadf1cebb06fd14bf551df3fb9f12117ba8255012a99d8f9c117ed9,Synthetic artifact and configuration identities are complete.
clean_deterministic,2,seed_namespace_integrity,evidence_gate,pass,false,26725b5eccea982d09dae14b52f4b014abe8cb30f60037c25619abcad4581db1,Requested and consumed seeds are recorded and unique.
clean_deterministic,3,schedule_parity,evidence_gate,pass,false,eae1a0e56adb985047665a7913547c1d8ce5482b4c069962c1cc67ea56293945,"Both arms use the same complete, fingerprinted schedule."
clean_deterministic,4,identical_arm_record_parity,evidence_gate,pass,false,e6b44382ee843717f99553aabcaee038f95731fbfa913882b4352e5a8cf72389,Byte-identical arms match through the complete public trace.
clean_deterministic,5,repeat_and_worker_parity,evidence_gate,pass,false,c67939193370e890d8c11a717651feb75d824d8bb5e01d7ce9e491c0904a8de3,Serial repeats and the scripted worker profile preserve each arm trace.
clean_deterministic,6,stochastic_source_audit,evidence_gate,pass,false,259923b6699462d06112e8f7caf89e4f7b62674dce29007208203c1f32ebd667,The only stochastic source is event-keyed and explicitly seeded.
clean_deterministic,7,cross_arm_event_alignment,evidence_gate,pass,false,e0b0cb1edc14731ef04f23f2819486b2da8d0919ee23ac9979a07eacd034ad86,All logged shared event keys map to the same random quantities.
clean_deterministic,8,statistical_admission,admission_decision,admit,false,6545139f6171fe7260b14102e8993adcdd69be983bb3cf51bfd32b31bab6b2d2,The fixture admits an event-aligned CRN demonstration.
stateful_draw_shift,1,artifact_identity,evidence_gate,pass,false,e18b13cbf0bb9dfad1062deef22cf7dba3311850410496c51f59995e8c480c29,"Treatment, control, engine, opponent, and protocol identities are recorded."
stateful_draw_shift,2,seed_namespace_integrity,evidence_gate,pass,false,26725b5eccea982d09dae14b52f4b014abe8cb30f60037c25619abcad4581db1,The exact consumed seed and stream identifier are unique and recorded.
stateful_draw_shift,3,schedule_parity,evidence_gate,pass,false,eae1a0e56adb985047665a7913547c1d8ce5482b4c069962c1cc67ea56293945,Treatment and control begin from the same fingerprinted schedule.
stateful_draw_shift,4,identical_arm_record_parity,evidence_gate,pass,false,9fe2a05d543e673fbd08948c5fdf6f47ccd78c65748d2c680dc846495ca0c41e,Each arm exactly reproduces all compared record fields.
stateful_draw_shift,5,repeat_and_worker_parity,evidence_gate,pass,false,c375ced978552628399a3fe82d3b87f1fb80e15cea4e021009d1ab252c513577,Both arms reproduce across the scripted execution profiles.
stateful_draw_shift,6,stochastic_source_audit,evidence_gate,pass,false,184da23ee1e9e0fdcd599886c7cf270e655e6d9f36e1d3100c0190fde1173cf6,The mutable stream is inventoried and reproducible; that does not prove event alignment.
stateful_draw_shift,7,cross_arm_event_alignment,evidence_gate,fail,true,a4ca7e9f55714098a9432121c9fd95cc59ed536c16c9a56797dacf9569762bfa,One treatment-only draw shifts later shared event quantities.
stateful_draw_shift,8,statistical_admission,admission_decision,downgrade,false,3756fc7a20eb111ad033cb00366020d900b21c3949a151d547754e12573f56f4,Only bounded seed-matched wording is admitted; CRN wording is suppressed.
wall_clock_search,1,artifact_identity,evidence_gate,pass,false,5669bb7fa673fb9252c8e3b8ce87319ae1669bd902f6a6c8bd3a333b3efe3587,The byte-identical A/A artifacts are recorded.
wall_clock_search,2,seed_namespace_integrity,evidence_gate,pass,false,26725b5eccea982d09dae14b52f4b014abe8cb30f60037c25619abcad4581db1,The exact consumed seed and stream are recorded.
wall_clock_search,3,schedule_parity,evidence_gate,pass,false,08b5bbc45af767aa63b5b469b8e055578d24b17dea54ed5fc258d8bfbb8a99f9,Declared schedule fields and fingerprints match.
wall_clock_search,4,identical_arm_record_parity,evidence_gate,fail,true,90686364e0d044162bad79a5f21c63cb1899d7c8744d3c5a64a21298678a2ff9,Identical arms diverge in the public-state/action record under hidden timing variation.
wall_clock_search,5,repeat_and_worker_parity,evidence_gate,fail,true,36e950f36e27caf557bd2dd5bccfa0daa5cbfbebf7ad1809a1107d423f1794ef,Repeated serial and contended worker profiles both expose timing-sensitive traces.
wall_clock_search,6,stochastic_source_audit,evidence_gate,fail,true,154df927a43b8e742ae078708e049dc60faf5019934fdfecec04a4ee3b9b139c,Source audit identifies a monotonic-clock deadline as a controlled divergence mechanism.
wall_clock_search,7,cross_arm_event_alignment,evidence_gate,blocked,false,2e6d4599ac5f506076c9bd1f052d2806016de93e028bf2af569d58f18e6c3682,Event alignment is not assessed after trace parity fails.
wall_clock_search,8,statistical_admission,admission_decision,suppress,false,a9306ff8073eca5c3f6634714b0e0726e719f44094d3fe07a633ba415b3f3396,The affected paired contrast is not admitted.
process_global_state,1,artifact_identity,evidence_gate,pass,false,3cf17fb07af1df032b3e004074ca389e29e3424da34189f12f2a306f70726e96,The byte-identical A/A artifacts are recorded.
process_global_state,2,seed_namespace_integrity,evidence_gate,pass,false,26725b5eccea982d09dae14b52f4b014abe8cb30f60037c25619abcad4581db1,The exact consumed seed and stream are recorded.
process_global_state,3,schedule_parity,evidence_gate,pass,false,eae1a0e56adb985047665a7913547c1d8ce5482b4c069962c1cc67ea56293945,Declared schedule fields and fingerprints match.
process_global_state,4,identical_arm_record_parity,evidence_gate,fail,true,0055d6d2a1ff3899bc0e650f48d989f95f24bb243f5187922e3a4fc461456ca6,Identical arms diverge when a worker inherits process-local state.
process_global_state,5,repeat_and_worker_parity,evidence_gate,fail,true,3af9985d035d750a519da2ffb675c1aee14bdc68cc8dd0a9c6c48a69a57778c1,"Fresh-process repeats agree, but reused-worker execution diverges."
process_global_state,6,stochastic_source_audit,evidence_gate,fail,true,52272ecaccb489b6ec3f5f5f8bff8df013d2afe977f0d0f711714523faf9f617,Source audit identifies mutable process-global state as the controlled mechanism.
process_global_state,7,cross_arm_event_alignment,evidence_gate,blocked,false,2e6d4599ac5f506076c9bd1f052d2806016de93e028bf2af569d58f18e6c3682,Event alignment is not assessed after trace parity fails.
process_global_state,8,statistical_admission,admission_decision,suppress,false,d79084480e0f278edfacf077e08408aeab8a5660eba4818e98fc57e70c42095d,The affected paired contrast is not admitted.
uint32_seed_conversion,1,artifact_identity,evidence_gate,pass,false,deb0ce9aa6910fd7cf7fd121d3210a65f0b263f9c7c8b85a30fae0a7f6e62415,Engine adapter and seed-schedule identities are recorded.
uint32_seed_conversion,2,seed_namespace_integrity,evidence_gate,fail,true,92b4c77e83c30dc265a116db25a153d13b65c2749c39fa6dc047b75b2188a583,Distinct requested seeds collide after uint32 conversion.
uint32_seed_conversion,3,schedule_parity,evidence_gate,pass,false,d9f0254807cc87633dca44fc60a2cee2052f103777205422e6d34c3d2672d20a,Each within-seed arm still receives an equal fingerprinted schedule.
uint32_seed_conversion,4,identical_arm_record_parity,evidence_gate,pass,false,ce7d6ce37e804d2fe3753d93f01325b90911e08eb94b54aa66719a84a10b6e3c,"Each scheduled unit passes A/A record parity, which cannot reveal a cross-unit seed collision."
uint32_seed_conversion,5,repeat_and_worker_parity,evidence_gate,pass,false,a09371e734d73bd6dce30a2656739ee0583faab3d67acd6be68f45a5f5e1a71f,Scripted worker profiles do not alter this conversion fixture.
uint32_seed_conversion,6,stochastic_source_audit,evidence_gate,pass,false,e91658d8152e5cb7be7b9739bb51d1c730aabdaad03ef69708cdef093cc8acec,The deterministic conversion boundary and random source are inventoried.
uint32_seed_conversion,7,cross_arm_event_alignment,evidence_gate,pass,false,c7de6385769e7dca3cf8186c82f078758da70f8addfd7c4177bf98de085fdd7f,"Within each pair, logged semantic events remain aligned despite cross-unit collision."
uint32_seed_conversion,8,statistical_admission,admission_decision,suppress,false,a6e6ab46aece0ae83e8d2343887ca65ded645f21ad882b4057f26d6b7be0d991,The collided schedule is rejected before statistical analysis.
