id,source_of_criticism,defect_summary,current_anchor(file:line @9103df7),proposed_repair,falsifying_test,change_class,old_outcomes_could_have_influenced_decision,evidence_required_to_mark_resolved
T01,Reviewer + FINAL_HANDOFF K001,"Branch-B downgraded when coupling/sync absent although framework allows design-based paired inference","redesign/benchmark/classifier.py:151-173","Repaired classifier admits Branch B from pairing-design evidence (repeated-measures/hierarchical/joint/randomized-paired units + cluster unit) independent of Branch C/D/E unless the declared model itself consumes that evidence; sync instability no longer auto-downgrades B","tests/test_branch_b_independence.py::valid_B_invalid_C_still_admits; ::valid_B_absent_D_E_still_admits; ::sync_loss_does_not_downgrade_valid_B",conceptual+software,No - old outcomes flagged the contradiction but did not cause it,All three independence tests pass; repaired holdout shows Branch-B false suppression re-estimated under fixed semantics
T02,FINAL_HANDOFF item 8 / METHOD_ASSUMPTION_AUDIT B1,"B1 A/A check always passes; consumes no A/A evidence (aa_outcome_variance=None)","redesign/benchmark/baselines.py:25-31,99","B1 receives a typed view with retained A/A outcome repetitions and computes a real dispersion statistic; abstains when bank absent",test_baselines.py::b1_consumes_real_aa_bank_and_fails_closed_without_it + mutation test removing the bank,software,Yes - old B1 decisions were degenerate and are excluded,Fixture proves identical bundle yields different decisions with/without bank; holdout run retains A/A banks
T03,CONTRADICTION_AUDIT K003,"Hold'em S3 event-keyed path ignores requested policy; arms collapse; zero variance meaningless","redesign/benchmark/adapters.py:160-163,198-202","Event-keyed action selection preserves policy: keyed randomness feeds random policy; conservative policy remains deterministic rule over same state; dealer/chance events stay keyed","test_holdem_policy.py::same_policy_reproducible; ::cross_policy_actions_diverge; ::dealer_events_aligned_across_arms; analysis guard forbids zero-variance contrast interpretation",benchmark construction+software,Yes - old S3 rows degenerate and excluded,"divergence test passes on both policies; repaired S3-equivalent variance nonzero in pilot mechanics checks"
T04,FINAL_HANDOFF item 8 / K002,"Ising adapter does not instantiate clock/mutable-state/queue/residual mechanics though labels say replay INVALID","redesign/benchmark/adapters.py:251-283; runner.py:204-225","Ising wrapper implements executable clock-think residual (rank-scaled), module-cache reuse contamination, queue-order draw tax; or scenario deleted before freeze. Chosen: implemented + independently tested; repetition ids retained for both arms","test_ising_mechanics.py::clock_residual_varies_within_seed_repeats; ::module_cache_changes_first_draw; ::queue_order_changes_digest; repeat_count>=4 both arms with nonzero within-cluster variance where claimed",benchmark construction+software,Yes - old Ising S4-S8 rows invalid; excluded,Mechanics tests pass pre-freeze; raw holdout retains per-repeat contexts/wall+CPU/sweeps
T05,Risk raised in task specification,"Event-keyed hook installed after sampler construction may not be consumed at true RNG point","redesign/benchmark/adapters.py:266-267","Hook replaced BEFORE sampler construction AND integration verified by draw-count assertions on logged keys during a real sweep",test_ising_eventkeyed_integration.py::sampler_actually_consumes_keyed_rng_by_draw_counts,software,Indirectly (old Branch-E ising decisions partly unmechanized),Draw-count assertion proves consumption in-process
T06,FINAL_HANDOFF item 21 (claim C018) + task spec,"'Public git-history freeze' claim false for private repo","redesign/manuscript/manuscript.md L5,L45; protocol §11 wording","All repaired artifacts use exact wording: timestamped freeze pushed to private origin remote; NOT public preregistration; public language only after authorized deposit","tests/test_doc_wording.py scans all repaired prose forbidding 'public git history'/'preregistered' without authorization marker",documentation,No,new manuscript + protocol wording audit PASS
T07,EQUATION_AUDIT E3 + task spec,"Two-proportion z on same-cell matched methods (independence violated)","redesign/analysis/complete_analysis.py:224-231,258-290","Primary method contrasts = exact McNemar on paired binary decisions per case (seed-cluster-aware) or frozen cluster-aware sign-flip permutation; z-tests forbidden by schema validation of outputs",test_stats.py::mcnemar_matches_hand_fixture; ::z_contrast_outputs_rejected_by_schema,statistical,Yes - old contrasts are void and excluded,Contrast tables produced only via new procedure; schema validator rejects legacy z columns
T08,Task spec pseudoreplication risk,"Seed-repetition treated as independent failure-mode draws in M1/M2 pooling","old METRICS_PREDECLARED aggregation; complete_analysis decision_outputs","Analysis unit = system×construction case; within-case statistic = fraction of seeds correct; cross-case summary = macro-average over constructions (and family); pooled rates descriptive only; no 95%-of-seeds detection rule asserted (descriptive summaries)",analysis fixtures assert denominators are cases and seeds nested; independent reaggregator reproduces macros,statistical,Yes - old pooled numbers void as primary claims,Frozen ANALYSIS_PLAN declares unit; independent reaggregate matches
T09,D004/D006 deviations + task spec,"M4-M6 promised confirmatory coverage/type-I/power not estimable; proxies mislabeled once","old protocol metrics + estimability.json","M4-M6 REMOVED prospectively from repaired protocol before freeze incl plots/tables/proxies/readiness requirements; future-work statement written; no coverage/power/type-I claims anywhere",docs scan tests forbid 'coverage rate','type-I','power' as results; output-schema enumerates allowed aggregates only,protocol/statistical,Yes - old proxy files quarantined upstream remain historical only,Prefreeze doc-scan gate passes; frozen schema lacks M4-M6 outputs
T10,"costs.csv zeros; D004","runtime_s=0.0 placeholders retained for budgeted runs; per-method runtime/storage missing","runner.py:174; costs.csv holdem S4/S8 rows; estimability.json","Budgeted wrapper records perf_counter wall AND process CPU; per-method classifier time measured; evidence-bundle bytes serialized per method; median/p95/run-to-run spread reported; equal-work interpretation defined",test_costs.py::no_zero_or_placeholder_timing_in_raw; row-level schema asserts positive durations,benchmark construction+software+statistical,Yes - old cost medians partially void,"pilot cost-bank run shows nonzero timings for every method row; schema validation passes"
T11,D-R4/D-R5 corollary,"Cross-context replay claims built from two calls in one interpreter while claiming process separation","runner.py:220-224","Context replicas execute in subprocesses (separate interpreters/env) whenever construction declares cross-process scope; context records carry pid/start-time proof",test_cross_process_contexts.py::context_records_have_distinct_pids,benchmark construction,Yes - old Branch-C context evidence weaker than labeled,Subprocess context mechanism test passes pre-freeze
T12,task spec baseline competence,"Unsupported branches default ADMIT; abstention unscored","baselines.py:11-13 everywhere","Every unsupported branch returns ABSTAIN_NOT_EVALUATED; baselines consume typed filtered evidence views; capability table + abstention rate + detection-conditional-on-coverage reported; always-abstain cannot look optimal",test_baselines.py::no_baseline_defaults_to_admit_outside_capability; mutation tests per baseline; scoring fixture verifies abstention counted separately,software+statistical,Yes - old comparative table void,Baseline suite tests green; frozen scoring code treats abstention separately
T13,baselines B4 dead path,"or True dead logic; unconditional structure","baselines.py:54-67","B4 implements genuine unpaired two-sample decision with declared independent arms; fails closed if arm independence undeclared; no dead branches (asserted)",dead-code scan (ast) + fixtures for admit/downgrade/fail-closed paths,software,Yes - old B4 column structurally biased,Ast-based dead-path test green
T14,baselines B5 string flag,"cluster/hierarchical decided by string flags only","baselines.py:70-82; classifier.py:108","B5 receives repeated-outcome clusters and checks within-cluster variation>0 plus unit_is_cluster plus design justification; classifier predicate reads stored value exactly",fixture with zero within-cluster variance -> SUPPRESS; hierarchical stored-value match test,software+benchmark construction,Yes - old B5 column overstated capability,Tests green; repaired predicate matches stored values end-to-end
T15,classifier D gaps,"D does not validate marginal preservation/stream collision/covariance benefit; D1 vs D2 conflated","classifier.py:180-188","Split into D1 coupling-validity gate (construction+marginal preservation across arms+stream-collision checks+synchronization assumptions) and D2 benefit measurement (covariance/variance ratio) reported separately possibly NONE_BENEFIT even when D1 valid",test_classifier_d.py covers each predicate flip; mutation: marginal violation forces SUPPRESS at D1 while D2 reports measurement anyway,software+conceptual,Yes - old D numbers void,New D1/D2 tests green; holdout reports D2 separately
T16,classifier E gaps,"E accepts any nonempty intersection; no ontology/version/uniqueness/unmatched-coverage checks","classifier.py:190-198; rng_manager.event_alignment_violations","E validates ontology identity+version equality, key uniqueness/collision counts, matched fraction threshold, unmatched coverage recorded, dependence-assumption declaration required",fixtures: renamed keys low-intersection->FAIL_CLOSED; duplicate keys collision counter fires; version drift suppresses,software+conceptual,Yes - old E numbers void,Suite green before freeze
T17,N=80 impossibility + missing banks,"N=80 without replacement from <=40 retained; A/A null bank never retained","old ANALYSIS_PLAN B section; runner.py:312-313","Prospective removal of coverage/type-I/power aims; new design stores explicit null/alternative banks ONLY IF any calibration aim remained — it does not; final seeds per construction=80 real executions","frozen SEED_MANIFEST counts verify 80 fresh seeds; no resample-from-retained-bank code exists (ast scan),statistical+protocol,Yes,Protocol text + manifest committed pre-freeze; absence tests green
T18,SELF-VALIDATION risk,"Fixing code and rerunning same inspected S0-S10 bank = regression not confirmation","redesign/ whole campaign","New fault grammar with new constructions incl >=1 new per branch + compound cases; dev/holdout banks with disjoint seeds/IDs from ALL V1 seeds; old data used solely for regression tests",overlap-check script proving zero seed/construction-ID intersection with V1 manifest,benchmark construction,Yes - motivates the entire redesign of banks,Disjointness report committed with freeze
T19,readiness conflation,"Recommendation-gate failure treated as making technically complete negative study unpublishable","old success_criteria.json semantics","Three separated gates (integrity/recommendation/submission-human). Integrity failure => NOT_READY; recommendation failure alone => valid negative result ready for human submission review; submission items stay pending for human",gate unit tests simulate each failure class mapping to correct status,protocol+software,Yes - old single-status output misleading,Gate tests green; closeout uses separated statuses
T20,FINAL_HANDOFF ref defect,"Broken reference to BENCHMARK_REPORT.md","redesign/FINAL_HANDOFF.md:10","Documentation-link invariant test walks all repaired docs; references must resolve to existing tracked artifacts",test_documentation_links.py runs repo-wide link check on prospective_repair docs,software/documentation,No,Link test green at every checkpoint commit
