"source_id","exact_title","authors","year","venue_or_status","doi_or_stable_url","version","access_date","full_text_inspected","exact_section_or_page","overlap_with_project","surviving_difference","effect_on_allowed_wording"
"L01","Reproducibility and Replicability in Science","National Academies of Sciences, Engineering, and Medicine","2019","Consensus study report","https://doi.org/10.17226/25303","final report","2026-08-27","YES","Summary pages 7 and 9; definitions and computational reproducibility section","Separates reproducibility replicability and generalizability; exact reproduction does not ensure correctness","Project applies distinctions to paired stochastic evaluations but does not originate the distinction","May say the router operationalizes existing distinctions; may not claim replay-versus-validity separation as new"
"L02","Verification and Validation of Simulation Models","Robert G. Sargent","2011","Winter Simulation Conference proceedings","https://www.informs-sim.org/wsc11papers/016.pdf","2011 proceedings PDF","2026-08-27","YES","Introduction page 1 and validation-techniques pages 3-4","Validity is assessed for a specific purpose and separately for each question; distinguishes verification validation operational validity and internal stochastic variability","Project names five narrower claim classes","May call taxonomy a domain-specific operationalization; may not claim purpose-specific evidence routing as new"
"L03","Assessing Credibility of Computational Modeling Through Verification and Validation: Application to Medical Devices","ASME V&V 40-2018 as summarized by FDA","2018","Recognized consensus standard","https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfstandards/detail.cfm?standard__identification_no=38534","ASME V&V 40-2018 recognition page updated 2026-05-25","2026-08-27","YES","Official scope and abstract","Credibility evidence must be adequate and relevant to the decision and context of use","Project addresses stochastic comparison claims rather than device decisions","May say inspired by fit-for-purpose credibility; may not claim matching evidence to intended claims as new"
"L04","Some Guidelines and Guarantees for Common Random Numbers","Paul Glasserman and David D. Yao","1992","Management Science 38(6) 884-908","https://doi.org/10.1287/mnsc.38.6.884","version of record","2026-08-27","YES","Abstract and article pages 884-908","CRN is established variance reduction with benefit depending on structural conditions and event timing","Project proposes validator outputs for CRN evidence","May not claim CRN validity benefit or event timing requirements as new"
"L05","Creating Common Patients and Evaluating Indiviual Results: Issues in Indiviual Simulation for Health Policy Analysis","David Cornejo; Maria E. Mayorga; Kristen Hassmiller Lich","2014","Winter Simulation Conference proceedings","https://informs-sim.org/wsc14papers/includes/files/123.pdf","2014 proceedings PDF","2026-08-27","YES","Sections 4.1 and 4.2.1 pages 4-5","Shows model-level shared seeds desynchronize after differing random calls and prescribes separate event streams","Project generalizes the diagnostic across systems","May not claim that seed equality is insufficient or that semantic and event synchronization matters as new"
"L06","Realizing Common Random Numbers: Event-Keyed Hashing for Causally Valid Stochastic Models","Vince Buffalo; Carl A. B. Pearson; Daniel Klein","2026","arXiv preprint","https://arxiv.org/abs/2603.11084","PDF dated 2026-03-13","2026-08-27","YES","Abstract; Sections 2.3 and 4.1-4.2 pages 4-10","Formalizes stable event identifiers and shared exogenous noise across counterfactual worlds and implements event-keyed randomness","Project proposes an evidence checker for the same property","May cite event alignment as prior art only; may not claim event-keyed counterfactual semantics as new"
"L07","When Does Pairing Seeds Reduce Variance? Evidence from a Multi-Agent Economic Simulation","Udit Sharma","2026","arXiv preprint","https://arxiv.org/abs/2512.24145","arXiv v3 dated 2026-01-31","2026-08-27","YES","Sections 3.1-3.4 pages 1-2 and Limitations page 5","Formalizes paired-seed estimators and separates validity of pairing from the sign-dependent efficiency benefit","Project adds software evidence routing but not the statistical distinction","May state ordinary paired inference need not require deterministic replay; may not present this as a new statistical result"
"L08","Use as directed? A comparison of software tools intended to check rigor and transparency of published work","Peter Eckmann; Adrian Barnett; Alexandra Bannach-Brown; Elisa Pilar Bascunan Atria; Guillaume Cabanac; Louise Delwen Owen Franzen; Małgorzata Anna Gazda; Kaitlyn Hair; James Howison; Halil Kilicoglu; Cyril Labbé; Sarah McCann; Vladislav Nachev; Martijn Roelandse; Maia Salholz-Hillel; Robert Schulz; Gerben ter Riet; Colby Vorland; Anita Bandrowski; Tracey Weissgerber","2026","PLOS One 21(2) e0342225","https://doi.org/10.1371/journal.pone.0342225","version of record published 2026-02-13","2026-08-27","YES","Methods: test-set construction generic definitions ensemble and statistical tests; Discussion","Compares multiple rigor validators across criteria with criterion-specific scope gold standards ensembles operational-definition differences runtime and cost considerations","Project criteria concern stochastic evaluation rather than manuscript rigor","May not claim multi-criterion specialist comparison applicability or cost-aware validator selection as new"
"L09","Auditing Sabotage Bench: A Benchmark for Detecting and Fixing Research Sabotage in ML Codebases","Eric Gan; Aryan Bhatt; Buck Shlegeris; Julian Stastny; Vivek Hebbar","2026","arXiv preprint","https://arxiv.org/abs/2604.16286","current 54-page PDF accessed 2026-08-27","2026-08-27","YES","Abstract page 1; benchmark construction pages 2-3; evaluation protocol pages 3-4","Uses nine existing ML codebases and eleven sabotaged variants to measure auditor detection and repair performance","Project targets fixed claim-contract validators rather than human or LLM auditors","May not claim a planted scientific-code fault benchmark or auditor-detection evaluation as new; flagged ASMR-Bench name is an older title or alias"
"L10","CTRL-ALT-DECEIT: Sabotage Evaluations for Automated AI R&D","Francis Rhys Ward; Teun van der Weij; Hanna Gábor; Sam Martin; Raja Mehta Moreno; Harel Lidar; Louis Makower; Thomas Jodrell; Lauren Robson","2025","NeurIPS 2025 paper and arXiv preprint","https://arxiv.org/abs/2511.09904","arXiv v2 dated 2025-11-18","2026-08-27","YES","Abstract page 1; Introduction page 2; benchmark described in Section 4","Introduces MLE-Sabotage as twenty hand-crafted realistic code-sabotage tasks and evaluates detection monitors","Project faults concern stochastic-evaluation claims","May not treat MLE-Sabotage as a separate paper or claim hand-crafted fault banks for validator evaluation as new"
"L11","Sabot: Do Multi-Agent Frameworks' Own Checks Detect Injected Faults?","Jott2121 repository owner; legal author identity not independently verified","2026","Public repository and non-peer-reviewed specification","https://github.com/Jott2121/sabot","SPEC and repository state accessed 2026-08-27","2026-08-27","YES","SPEC sections 1-5 and 7-10; repository wave-1 and wave-2 results","Freezes a planted-fault protocol; compares named validator and check surfaces; retains controls and raw traces; reports detection and recovery without detection","Project target is stochastic-claim authorization rather than agent-pipeline checks","May describe Sabot as adjacent non-peer-reviewed implementation; may not claim prospective planted-fault validator scoreboards as new"
"L12","Assessment of false discovery rate control in tandem mass spectrometry analysis using entrapment","Bo Wen; Jack Freestone; Michael Riffle; Michael J. MacCoss; William S. Noble; Uri Keich","2025","Nature Methods 22 1454-1463","https://doi.org/10.1038/s41592-025-02719-x","version of record published 2025-06-16","2026-08-27","YES","Abstract and Introduction; Methods: entrapment database generation and FDR-control evaluation procedures","Uses verifiably false entrapment discoveries to compare validation methods and distinguishes invalid lower-bound and valid-underpowered procedures","Project applies known-truth validation to a different claim family","May not claim validation-of-validation with known false cases as new"
"L13","Validating LLM-Modernized Scientific Software Through Differential Fault Injection","Evan Coleman; Yuzhong Shen; Masha Sosonkina; Peng Xu","2026","arXiv preprint","https://arxiv.org/abs/2608.14527","PDF accessed 2026-08-27","2026-08-27","YES","Abstract page 1 and methods and results sections","Uses identical deterministic faults and paired injections to validate original versus transformed scientific software","Project evaluates claim-authorizing validators rather than transformed kernels","May not claim paired differential fault injection in scientific software as new"
